DO_org,DO_w,DO_b,DO_g,,,,DOE_w,DOE_b,DOE_g,DOPE_w,DOPE_b,DOPE_g,DOR_w,DOR_b,DOR_g
7.6622,6.688388699,6.726290498,6.733151058,,,,0.973811301,0.935909502,0.929048942,,,,,,
7.645,6.687546223,6.725444835,6.732315605,,,,0.957453777,0.919555165,0.912684395,,,,,,
7.6387,6.68657595,6.724470821,6.731351198,,,,0.95212405,0.914229179,0.907348802,,,,,,
7.6443,6.686013675,6.723905783,6.730772876,,,,0.958286325,0.920394217,0.913527124,,,,,,
7.6654,6.686287838,6.724179448,6.730994704,,,,0.979112162,0.941220552,0.934405296,,,,,,
7.6847,6.686244741,6.724135264,6.730922006,,,,0.998455259,0.960564736,0.953777994,,,,,,
7.7046,6.684166484,6.722051064,6.728923616,,,,1.020433516,0.982548936,0.975676384,,,,,,
7.69465,6.68342793,6.721309711,6.72819118,,,,1.01122207,0.973340289,0.96645882,,,,,,
7.689675,6.682814493,6.720694596,6.727604192,,,,1.006860507,0.968980404,0.962070808,,,,,,
7.6871875,6.681835263,6.719713163,6.726683342,,,,1.005352237,0.967474337,0.960504158,,,,,,
7.68594375,6.680780733,6.718656175,6.725689544,,,,1.005163017,0.967287575,0.960254206,,,,,,
7.685321875,6.679688743,6.71756159,6.724659498,,,,1.005633132,0.967760285,0.960662377,,,,,,
7.685632812,6.67863467,6.71650498,6.723664851,,,,1.006998142,0.969127832,0.961967961,,,,,,
7.685788281,6.677648729,6.715516629,6.722733873,,,,1.008139552,0.970271652,0.963054408,,,,,,
7.685866016,6.676647942,6.714513383,6.72178907,,,,1.009218074,0.971352633,0.964076946,,,,,,
7.685904883,6.675696295,6.713559384,6.720890778,,,,1.010208588,0.972345499,0.965014105,,,,,,
